Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
Great northern beans,Canned,1.1583,per pound,0.65,0.3858,pounds,0.6875,Peaches,Fresh,2.1785,per pound,0.96,0.3417,pounds,0.7755
Great northern beans,Dried,1.7202,per pound,2.4692,0.3858,pounds,0.2688,"Peaches, packed in juice",Canned,2.2503,per pound,1,0.5401,pounds,1.2155
Green beans,Fresh,2.6199,per pound,0.8466,0.2756,pounds,0.8528,"Peaches, packed in syrup or water",Canned,2.0102,per pound,0.65,0.4409,pounds,1.3636
Green beans,Canned,1.1291,per pound,0.65,0.2976,pounds,0.517,Peaches,Frozen,3.6058,per pound,1,0.3307,pounds,1.1924
Green beans,Frozen,1.9983,per pound,0.903,0.2976,pounds,0.6586,Pears,Fresh,1.8472,per pound,0.9,0.3638,pounds,0.7466
Green peas,Canned,1.3118,per pound,0.65,0.3527,pounds,0.7119,"Pears, packed in juice",Canned,2.14,per pound,1,0.5401,pounds,1.1559
Green peas,Frozen,1.996,per pound,0.8924,0.3527,pounds,0.7889,"Pears, packed in syrup or water",Canned,2.092,per pound,0.65,0.4409,pounds,1.4191
Green peppers,Fresh,1.4789,per pound,0.82,0.2646,pounds,0.4771,Pineapple,Fresh,0.617,per pound,0.51,0.3638,pounds,0.4401
Kale,Fresh,3.4338,per pound,1.05,0.2866,pounds,0.9373,"Pineapple, packed in juice",Canned,1.6509,per pound,1,0.5401,pounds,0.8917
Kale,Frozen,2.2983,per pound,0.8995,0.3638,pounds,0.9295,"Pineapple, packed in syrup or water",Canned,1.7771,per pound,0.65,0.4409,pounds,1.2055
Kidney beans,Canned,1.1208,per pound,0.65,0.3858,pounds,0.6652,Pineapple,Dried,7.0133,per pound,1,0.1543,pounds,1.0823
Kidney beans,Dried,1.9176,per pound,2.4692,0.3858,pounds,0.2996,"Pineapple, ready-to-drink",Juice,1.2243,per pint,1,8,fluid ounces,0.6122
Lentils,Dried,1.839,per pound,2.4692,0.3858,pounds,0.2873,"Pineapple, frozen concentrate",Juice,0.7256,per pint,1,8,fluid ounces,0.3628
"Lettuce, iceberg",Fresh,1.2512,per pound,0.95,0.2425,pounds,0.3194,Plum,Fresh,2.5259,per pound,0.94,0.3638,pounds,0.9775
